,activity
1372,LAYING
1373,LAYING
1374,LAYING
1375,LAYING
1376,LAYING
1377,LAYING
1378,LAYING
1379,LAYING
1380,LAYING
1381,LAYING
1382,LAYING
1383,LAYING
1384,LAYING
1385,LAYING
1386,LAYING
1387,LAYING
1388,LAYING
1389,LAYING
1390,LAYING
1391,LAYING
1392,LAYING
1393,LAYING
1394,LAYING
1395,LAYING
1396,WALKING
1397,WALKING
1398,WALKING
1399,WALKING
1400,WALKING
1401,WALKING
1402,WALKING
1403,WALKING
1404,WALKING
1405,WALKING
1406,WALKING
1407,WALKING
1408,WALKING
1409,WALKING
1410,WALKING
1411,WALKING
1412,WALKING
1413,WALKING
1414,WALKING
1415,WALKING
1416,WALKING
1417,WALKING
1418,WALKING
1419,WALKING
1420,WALKING
1421,WALKING
1422,WALKING
1423,WALKING
1424,WALKING
1425,WALKING_DOWNSTAIRS
1426,WALKING_DOWNSTAIRS
1427,WALKING_DOWNSTAIRS
1428,WALKING_DOWNSTAIRS
1429,WALKING_DOWNSTAIRS
1430,WALKING_DOWNSTAIRS
1431,WALKING_DOWNSTAIRS
1432,WALKING_DOWNSTAIRS
1433,WALKING_DOWNSTAIRS
1434,WALKING_DOWNSTAIRS
1435,WALKING_DOWNSTAIRS
1436,WALKING_DOWNSTAIRS
1437,WALKING_DOWNSTAIRS
1438,WALKING_DOWNSTAIRS
1439,WALKING_DOWNSTAIRS
1440,WALKING_DOWNSTAIRS
1441,WALKING_DOWNSTAIRS
1442,WALKING_DOWNSTAIRS
1443,WALKING_DOWNSTAIRS
1444,WALKING_DOWNSTAIRS
1445,WALKING_DOWNSTAIRS
1446,WALKING_DOWNSTAIRS
1447,WALKING_DOWNSTAIRS
1448,WALKING_DOWNSTAIRS
1449,WALKING_DOWNSTAIRS
1450,WALKING_UPSTAIRS
1451,WALKING_UPSTAIRS
1452,WALKING_UPSTAIRS
1453,WALKING_UPSTAIRS
1454,WALKING_UPSTAIRS
1455,WALKING_UPSTAIRS
1456,WALKING_UPSTAIRS
1457,WALKING_UPSTAIRS
1458,WALKING_UPSTAIRS
1459,WALKING_UPSTAIRS
1460,WALKING_UPSTAIRS
1461,WALKING_UPSTAIRS
1462,WALKING_UPSTAIRS
1463,WALKING_UPSTAIRS
1464,WALKING_UPSTAIRS
1465,WALKING_UPSTAIRS
1466,WALKING_UPSTAIRS
1467,WALKING_UPSTAIRS
1468,WALKING_UPSTAIRS
1469,WALKING_UPSTAIRS
1470,WALKING_UPSTAIRS
1471,WALKING_UPSTAIRS
1472,WALKING_UPSTAIRS
1473,WALKING_UPSTAIRS
1474,WALKING_UPSTAIRS
1475,WALKING_UPSTAIRS
1476,STANDING
1477,STANDING
1478,STANDING
1479,STANDING
1480,STANDING
1481,STANDING
1482,STANDING
1483,STANDING
1484,STANDING
1485,STANDING
1486,STANDING
1487,STANDING
1488,STANDING
1489,STANDING
1490,STANDING
1491,STANDING
1492,STANDING
1493,STANDING
1494,STANDING
1495,STANDING
1496,STANDING
1497,STANDING
1498,STANDING
1499,STANDING
1500,STANDING
1501,SITTING
1502,SITTING
1503,SITTING
1504,SITTING
1505,SITTING
1506,SITTING
1507,SITTING
1508,SITTING
1509,SITTING
1510,SITTING
1511,SITTING
1512,SITTING
1513,SITTING
1514,SITTING
1515,SITTING
1516,SITTING
1517,SITTING
1518,SITTING
1519,SITTING
1520,SITTING
1521,SITTING
1522,SITTING
1523,LAYING
1524,LAYING
1525,LAYING
1526,LAYING
1527,LAYING
1528,LAYING
1529,LAYING
1530,LAYING
1531,LAYING
1532,LAYING
1533,LAYING
1534,LAYING
1535,LAYING
1536,LAYING
1537,LAYING
1538,LAYING
1539,LAYING
1540,LAYING
1541,LAYING
1542,LAYING
1543,LAYING
1544,LAYING
1545,LAYING
1546,LAYING
1547,LAYING
1548,WALKING
1549,WALKING
1550,WALKING
1551,WALKING
1552,WALKING
1553,WALKING
1554,WALKING
1555,WALKING
1556,WALKING
1557,WALKING
1558,WALKING
1559,WALKING
1560,WALKING
1561,WALKING
1562,WALKING
1563,WALKING
1564,WALKING
1565,WALKING
1566,WALKING
1567,WALKING
1568,WALKING
1569,WALKING
1570,WALKING
1571,WALKING
1572,WALKING
1573,WALKING
1574,WALKING
1575,WALKING
1576,WALKING_DOWNSTAIRS
1577,WALKING_DOWNSTAIRS
1578,WALKING_DOWNSTAIRS
1579,WALKING_DOWNSTAIRS
1580,WALKING_DOWNSTAIRS
1581,WALKING_DOWNSTAIRS
1582,WALKING_DOWNSTAIRS
1583,WALKING_DOWNSTAIRS
1584,WALKING_DOWNSTAIRS
1585,WALKING_DOWNSTAIRS
1586,WALKING_DOWNSTAIRS
1587,WALKING_DOWNSTAIRS
1588,WALKING_DOWNSTAIRS
1589,WALKING_DOWNSTAIRS
1590,WALKING_DOWNSTAIRS
1591,WALKING_DOWNSTAIRS
1592,WALKING_DOWNSTAIRS
1593,WALKING_DOWNSTAIRS
1594,WALKING_DOWNSTAIRS
1595,WALKING_DOWNSTAIRS
1596,WALKING_DOWNSTAIRS
1597,WALKING_DOWNSTAIRS
1598,WALKING_UPSTAIRS
1599,WALKING_UPSTAIRS
1600,WALKING_UPSTAIRS
1601,WALKING_UPSTAIRS
1602,WALKING_UPSTAIRS
1603,WALKING_UPSTAIRS
1604,WALKING_UPSTAIRS
1605,WALKING_UPSTAIRS
1606,WALKING_UPSTAIRS
1607,WALKING_UPSTAIRS
1608,WALKING_UPSTAIRS
1609,WALKING_UPSTAIRS
1610,WALKING_UPSTAIRS
1611,WALKING_UPSTAIRS
1612,WALKING_UPSTAIRS
1613,WALKING_UPSTAIRS
1614,WALKING_UPSTAIRS
1615,WALKING_UPSTAIRS
1616,WALKING_UPSTAIRS
1617,WALKING_UPSTAIRS
1618,WALKING_UPSTAIRS
1619,WALKING_UPSTAIRS
1620,WALKING_UPSTAIRS
1621,WALKING_UPSTAIRS
1622,WALKING_UPSTAIRS
1623,STANDING
1624,STANDING
1625,STANDING
1626,STANDING
1627,STANDING
1628,STANDING
1629,STANDING
1630,STANDING
1631,STANDING
1632,STANDING
1633,STANDING
1634,STANDING
1635,STANDING
1636,STANDING
1637,STANDING
1638,STANDING
1639,STANDING
1640,STANDING
1641,STANDING
1642,STANDING
1643,STANDING
1644,STANDING
1645,SITTING
1646,SITTING
1647,SITTING
1648,SITTING
1649,SITTING
1650,SITTING
1651,SITTING
1652,SITTING
1653,SITTING
1654,SITTING
1655,SITTING
1656,SITTING
1657,SITTING
1658,SITTING
1659,SITTING
1660,SITTING
1661,SITTING
1662,SITTING
1663,SITTING
1664,SITTING
1665,SITTING
1666,SITTING
1667,LAYING
1668,LAYING
1669,LAYING
1670,LAYING
1671,LAYING
1672,LAYING
1673,LAYING
1674,LAYING
1675,LAYING
1676,LAYING
1677,LAYING
1678,LAYING
1679,LAYING
1680,LAYING
1681,LAYING
1682,LAYING
1683,LAYING
1684,LAYING
1685,LAYING
1686,LAYING
1687,LAYING
1688,LAYING
1689,LAYING
1690,LAYING
1691,LAYING
1692,WALKING
1693,WALKING
1694,WALKING
1695,WALKING
1696,WALKING
1697,WALKING
1698,WALKING
1699,WALKING
1700,WALKING
1701,WALKING
1702,WALKING
1703,WALKING
1704,WALKING
1705,WALKING
1706,WALKING
1707,WALKING
1708,WALKING
1709,WALKING
1710,WALKING
1711,WALKING
1712,WALKING
1713,WALKING
1714,WALKING
1715,WALKING
1716,WALKING_DOWNSTAIRS
1717,WALKING_DOWNSTAIRS
1718,WALKING_DOWNSTAIRS
1719,WALKING_DOWNSTAIRS
1720,WALKING_DOWNSTAIRS
1721,WALKING_DOWNSTAIRS
1722,WALKING_DOWNSTAIRS
1723,WALKING_DOWNSTAIRS
1724,WALKING_DOWNSTAIRS
1725,WALKING_DOWNSTAIRS
1726,WALKING_DOWNSTAIRS
1727,WALKING_DOWNSTAIRS
1728,WALKING_DOWNSTAIRS
1729,WALKING_DOWNSTAIRS
1730,WALKING_DOWNSTAIRS
1731,WALKING_DOWNSTAIRS
1732,WALKING_DOWNSTAIRS
1733,WALKING_DOWNSTAIRS
1734,WALKING_DOWNSTAIRS
1735,WALKING_DOWNSTAIRS
1736,WALKING_UPSTAIRS
1737,WALKING_UPSTAIRS
1738,WALKING_UPSTAIRS
1739,WALKING_UPSTAIRS
1740,WALKING_UPSTAIRS
1741,WALKING_UPSTAIRS
1742,WALKING_UPSTAIRS
1743,WALKING_UPSTAIRS
1744,WALKING_UPSTAIRS
1745,WALKING_UPSTAIRS
1746,WALKING_UPSTAIRS
1747,WALKING_UPSTAIRS
1748,WALKING_UPSTAIRS
1749,WALKING_UPSTAIRS
1750,WALKING_UPSTAIRS
1751,WALKING_UPSTAIRS
1752,WALKING_UPSTAIRS
1753,WALKING_UPSTAIRS
1754,WALKING_UPSTAIRS
1755,WALKING_UPSTAIRS
1756,WALKING_UPSTAIRS
1757,STANDING
1758,STANDING
1759,STANDING
1760,STANDING
1761,STANDING
1762,STANDING
1763,STANDING
1764,STANDING
1765,STANDING
1766,STANDING
1767,STANDING
1768,STANDING
1769,STANDING
1770,STANDING
1771,STANDING
1772,STANDING
1773,STANDING
1774,STANDING
1775,STANDING
1776,STANDING
1777,STANDING
1778,STANDING
1779,STANDING
1780,STANDING
1781,STANDING
1782,STANDING
1783,STANDING
1784,STANDING
1785,STANDING
1786,STANDING
1787,STANDING
1788,STANDING
1789,SITTING
1790,SITTING
1791,SITTING
1792,SITTING
1793,SITTING
1794,SITTING
1795,SITTING
1796,SITTING
1797,SITTING
1798,SITTING
1799,SITTING
1800,SITTING
1801,SITTING
1802,SITTING
1803,SITTING
1804,SITTING
1805,SITTING
1806,SITTING
1807,SITTING
1808,SITTING
1809,SITTING
1810,SITTING
1811,SITTING
1812,SITTING
1813,LAYING
1814,LAYING
1815,LAYING
1816,LAYING
1817,LAYING
1818,LAYING
1819,LAYING
1820,LAYING
1821,LAYING
1822,LAYING
1823,LAYING
1824,LAYING
1825,LAYING
1826,LAYING
1827,LAYING
1828,LAYING
1829,LAYING
1830,LAYING
1831,LAYING
1832,LAYING
1833,LAYING
1834,LAYING
1835,LAYING
1836,LAYING
1837,LAYING
1838,LAYING
1839,LAYING
1840,LAYING
1841,LAYING
1842,WALKING
1843,WALKING
1844,WALKING
1845,WALKING
1846,WALKING
1847,WALKING
1848,WALKING
1849,WALKING
1850,WALKING
1851,WALKING
1852,WALKING
1853,WALKING
1854,WALKING
1855,WALKING
1856,WALKING
1857,WALKING
1858,WALKING
1859,WALKING
1860,WALKING
1861,WALKING
1862,WALKING
1863,WALKING
1864,WALKING
1865,WALKING
1866,WALKING_DOWNSTAIRS
1867,WALKING_DOWNSTAIRS
1868,WALKING_DOWNSTAIRS
1869,WALKING_DOWNSTAIRS
1870,WALKING_DOWNSTAIRS
1871,WALKING_DOWNSTAIRS
1872,WALKING_DOWNSTAIRS
1873,WALKING_DOWNSTAIRS
1874,WALKING_DOWNSTAIRS
1875,WALKING_DOWNSTAIRS
1876,WALKING_DOWNSTAIRS
1877,WALKING_DOWNSTAIRS
1878,WALKING_DOWNSTAIRS
1879,WALKING_DOWNSTAIRS
1880,WALKING_DOWNSTAIRS
1881,WALKING_DOWNSTAIRS
1882,WALKING_DOWNSTAIRS
1883,WALKING_DOWNSTAIRS
1884,WALKING_UPSTAIRS
1885,WALKING_UPSTAIRS
1886,WALKING_UPSTAIRS
1887,WALKING_UPSTAIRS
1888,WALKING_UPSTAIRS
1889,WALKING_UPSTAIRS
1890,WALKING_UPSTAIRS
1891,WALKING_UPSTAIRS
1892,WALKING_UPSTAIRS
1893,WALKING_UPSTAIRS
1894,WALKING_UPSTAIRS
1895,WALKING_UPSTAIRS
1896,WALKING_UPSTAIRS
1897,WALKING_UPSTAIRS
1898,WALKING_UPSTAIRS
1899,WALKING_UPSTAIRS
1900,WALKING_UPSTAIRS
1901,WALKING_UPSTAIRS
1902,WALKING_UPSTAIRS
1903,WALKING_UPSTAIRS
1904,STANDING
1905,STANDING
1906,STANDING
1907,STANDING
1908,STANDING
1909,STANDING
1910,STANDING
1911,STANDING
1912,STANDING
1913,STANDING
1914,STANDING
1915,STANDING
1916,STANDING
1917,STANDING
1918,STANDING
1919,STANDING
1920,STANDING
1921,STANDING
1922,STANDING
1923,STANDING
1924,STANDING
1925,SITTING
1926,SITTING
1927,SITTING
1928,SITTING
1929,SITTING
1930,SITTING
1931,SITTING
1932,SITTING
1933,SITTING
1934,SITTING
1935,SITTING
1936,SITTING
1937,SITTING
1938,SITTING
1939,SITTING
1940,SITTING
1941,SITTING
1942,SITTING
1943,SITTING
1944,SITTING
1945,SITTING
1946,SITTING
1947,SITTING
1948,SITTING
1949,SITTING
1950,SITTING
1951,LAYING
1952,LAYING
1953,LAYING
1954,LAYING
1955,LAYING
1956,LAYING
1957,LAYING
1958,LAYING
1959,LAYING
1960,LAYING
1961,LAYING
1962,LAYING
1963,LAYING
1964,LAYING
1965,LAYING
1966,LAYING
1967,LAYING
1968,LAYING
1969,LAYING
1970,LAYING
1971,LAYING
1972,LAYING
1973,LAYING
1974,LAYING
1975,LAYING
1976,LAYING
1977,LAYING
1978,LAYING
1979,LAYING
1980,LAYING
1981,WALKING
1982,WALKING
1983,WALKING
1984,WALKING
1985,WALKING
1986,WALKING
1987,WALKING
1988,WALKING
1989,WALKING
1990,WALKING
1991,WALKING
1992,WALKING
1993,WALKING
1994,WALKING
1995,WALKING
1996,WALKING
1997,WALKING
1998,WALKING
1999,WALKING
2000,WALKING
2001,WALKING
2002,WALKING
2003,WALKING
2004,WALKING
2005,WALKING
2006,WALKING
2007,WALKING
2008,WALKING
2009,WALKING
2010,WALKING_DOWNSTAIRS
2011,WALKING_DOWNSTAIRS
2012,WALKING_DOWNSTAIRS
2013,WALKING_DOWNSTAIRS
2014,WALKING_DOWNSTAIRS
2015,WALKING_DOWNSTAIRS
2016,WALKING_DOWNSTAIRS
2017,WALKING_DOWNSTAIRS
2018,WALKING_DOWNSTAIRS
2019,WALKING_DOWNSTAIRS
2020,WALKING_DOWNSTAIRS
2021,WALKING_DOWNSTAIRS
2022,WALKING_DOWNSTAIRS
2023,WALKING_DOWNSTAIRS
2024,WALKING_DOWNSTAIRS
2025,WALKING_DOWNSTAIRS
2026,WALKING_DOWNSTAIRS
2027,WALKING_DOWNSTAIRS
2028,WALKING_DOWNSTAIRS
2029,WALKING_DOWNSTAIRS
2030,WALKING_DOWNSTAIRS
2031,WALKING_DOWNSTAIRS
2032,WALKING_UPSTAIRS
2033,WALKING_UPSTAIRS
2034,WALKING_UPSTAIRS
2035,WALKING_UPSTAIRS
2036,WALKING_UPSTAIRS
2037,WALKING_UPSTAIRS
2038,WALKING_UPSTAIRS
2039,WALKING_UPSTAIRS
2040,WALKING_UPSTAIRS
2041,WALKING_UPSTAIRS
2042,WALKING_UPSTAIRS
2043,WALKING_UPSTAIRS
2044,WALKING_UPSTAIRS
2045,WALKING_UPSTAIRS
2046,WALKING_UPSTAIRS
2047,WALKING_UPSTAIRS
2048,WALKING_UPSTAIRS
2049,WALKING_UPSTAIRS
2050,WALKING_UPSTAIRS
2051,WALKING_UPSTAIRS
2052,WALKING_UPSTAIRS
2053,WALKING_UPSTAIRS
2054,WALKING_UPSTAIRS
2055,WALKING_UPSTAIRS
2056,WALKING_UPSTAIRS
2057,WALKING_UPSTAIRS
2058,STANDING
2059,STANDING
2060,STANDING
2061,STANDING
2062,STANDING
2063,STANDING
2064,STANDING
2065,STANDING
2066,STANDING
2067,STANDING
2068,STANDING
2069,STANDING
2070,STANDING
2071,STANDING
2072,STANDING
2073,STANDING
2074,STANDING
2075,STANDING
2076,STANDING
2077,STANDING
2078,STANDING
2079,STANDING
2080,STANDING
2081,STANDING
2082,STANDING
2083,STANDING
2084,SITTING
2085,SITTING
2086,SITTING
2087,SITTING
2088,SITTING
2089,SITTING
2090,SITTING
2091,SITTING
2092,SITTING
2093,SITTING
2094,SITTING
2095,SITTING
2096,SITTING
2097,SITTING
2098,SITTING
2099,SITTING
2100,SITTING
2101,SITTING
2102,SITTING
2103,SITTING
2104,SITTING
2105,SITTING
2106,SITTING
2107,SITTING
2108,SITTING
2109,SITTING
2110,SITTING
2111,LAYING
2112,LAYING
2113,LAYING
2114,LAYING
2115,LAYING
2116,LAYING
2117,LAYING
2118,LAYING
2119,LAYING
2120,LAYING
2121,LAYING
2122,LAYING
2123,LAYING
2124,LAYING
2125,LAYING
2126,LAYING
2127,LAYING
2128,LAYING
2129,LAYING
2130,LAYING
2131,LAYING
2132,LAYING
2133,LAYING
2134,LAYING
2135,LAYING
2136,LAYING
2137,LAYING
2138,WALKING
2139,WALKING
2140,WALKING
2141,WALKING
2142,WALKING
2143,WALKING
2144,WALKING
2145,WALKING
2146,WALKING
2147,WALKING
2148,WALKING
2149,WALKING
2150,WALKING
2151,WALKING
2152,WALKING
2153,WALKING
2154,WALKING
2155,WALKING
2156,WALKING
2157,WALKING
2158,WALKING
2159,WALKING
2160,WALKING
2161,WALKING
2162,WALKING
2163,WALKING
2164,WALKING
2165,WALKING
2166,WALKING
2167,WALKING
2168,WALKING_DOWNSTAIRS
2169,WALKING_DOWNSTAIRS
2170,WALKING_DOWNSTAIRS
2171,WALKING_DOWNSTAIRS
2172,WALKING_DOWNSTAIRS
2173,WALKING_DOWNSTAIRS
2174,WALKING_DOWNSTAIRS
2175,WALKING_DOWNSTAIRS
2176,WALKING_DOWNSTAIRS
2177,WALKING_DOWNSTAIRS
2178,WALKING_DOWNSTAIRS
2179,WALKING_DOWNSTAIRS
2180,WALKING_DOWNSTAIRS
2181,WALKING_DOWNSTAIRS
2182,WALKING_DOWNSTAIRS
2183,WALKING_DOWNSTAIRS
2184,WALKING_DOWNSTAIRS
2185,WALKING_DOWNSTAIRS
2186,WALKING_DOWNSTAIRS
2187,WALKING_DOWNSTAIRS
2188,WALKING_DOWNSTAIRS
2189,WALKING_DOWNSTAIRS
2190,WALKING_DOWNSTAIRS
2191,WALKING_DOWNSTAIRS
2192,WALKING_UPSTAIRS
2193,WALKING_UPSTAIRS
2194,WALKING_UPSTAIRS
2195,WALKING_UPSTAIRS
2196,WALKING_UPSTAIRS
2197,WALKING_UPSTAIRS
2198,WALKING_UPSTAIRS
2199,WALKING_UPSTAIRS
2200,WALKING_UPSTAIRS
2201,WALKING_UPSTAIRS
2202,WALKING_UPSTAIRS
2203,WALKING_UPSTAIRS
2204,WALKING_UPSTAIRS
2205,WALKING_UPSTAIRS
2206,WALKING_UPSTAIRS
2207,WALKING_UPSTAIRS
2208,WALKING_UPSTAIRS
2209,WALKING_UPSTAIRS
2210,WALKING_UPSTAIRS
2211,WALKING_UPSTAIRS
2212,WALKING_UPSTAIRS
2213,WALKING_UPSTAIRS
2214,WALKING_UPSTAIRS
2215,WALKING_UPSTAIRS
2216,WALKING_UPSTAIRS
2217,WALKING_UPSTAIRS
2218,WALKING_UPSTAIRS
2219,WALKING_UPSTAIRS
2220,STANDING
2221,STANDING
2222,STANDING
2223,STANDING
2224,STANDING
2225,STANDING
2226,STANDING
2227,STANDING
2228,STANDING
2229,STANDING
2230,STANDING
2231,STANDING
2232,STANDING
2233,STANDING
2234,STANDING
2235,STANDING
2236,STANDING
2237,STANDING
2238,STANDING
2239,STANDING
2240,STANDING
2241,STANDING
2242,STANDING
2243,STANDING
2244,STANDING
2245,STANDING
2246,STANDING
2247,STANDING
2248,STANDING
2249,STANDING
2250,SITTING
2251,SITTING
2252,SITTING
2253,SITTING
2254,SITTING
2255,SITTING
2256,SITTING
2257,SITTING
2258,SITTING
2259,SITTING
2260,SITTING
2261,SITTING
2262,SITTING
2263,SITTING
2264,SITTING
2265,SITTING
2266,SITTING
2267,SITTING
2268,SITTING
2269,SITTING
2270,SITTING
2271,SITTING
2272,SITTING
2273,SITTING
2274,SITTING
2275,SITTING
2276,LAYING
2277,LAYING
2278,LAYING
2279,LAYING
2280,LAYING
2281,LAYING
2282,LAYING
2283,LAYING
2284,LAYING
2285,LAYING
2286,LAYING
2287,LAYING
2288,LAYING
2289,LAYING
2290,LAYING
2291,LAYING
2292,LAYING
2293,LAYING
2294,LAYING
2295,LAYING
2296,LAYING
2297,LAYING
2298,LAYING
2299,LAYING
2300,LAYING
2301,WALKING
2302,WALKING
2303,WALKING
2304,WALKING
2305,WALKING
2306,WALKING
2307,WALKING
2308,WALKING
2309,WALKING
2310,WALKING
2311,WALKING
2312,WALKING
2313,WALKING
2314,WALKING
2315,WALKING
2316,WALKING
2317,WALKING
2318,WALKING
2319,WALKING
2320,WALKING
2321,WALKING
2322,WALKING
2323,WALKING
2324,WALKING
2325,WALKING
2326,WALKING
2327,WALKING
2328,WALKING
2329,WALKING
2330,WALKING
2331,WALKING_DOWNSTAIRS
2332,WALKING_DOWNSTAIRS
2333,WALKING_DOWNSTAIRS
2334,WALKING_DOWNSTAIRS
2335,WALKING_DOWNSTAIRS
2336,WALKING_DOWNSTAIRS
2337,WALKING_DOWNSTAIRS
2338,WALKING_DOWNSTAIRS
2339,WALKING_DOWNSTAIRS
2340,WALKING_DOWNSTAIRS
2341,WALKING_DOWNSTAIRS
2342,WALKING_DOWNSTAIRS
2343,WALKING_DOWNSTAIRS
2344,WALKING_DOWNSTAIRS
2345,WALKING_DOWNSTAIRS
2346,WALKING_DOWNSTAIRS
2347,WALKING_DOWNSTAIRS
2348,WALKING_DOWNSTAIRS
2349,WALKING_DOWNSTAIRS
2350,WALKING_DOWNSTAIRS
2351,WALKING_DOWNSTAIRS
2352,WALKING_DOWNSTAIRS
2353,WALKING_DOWNSTAIRS
2354,WALKING_DOWNSTAIRS
2355,WALKING_UPSTAIRS
2356,WALKING_UPSTAIRS
2357,WALKING_UPSTAIRS
2358,WALKING_UPSTAIRS
2359,WALKING_UPSTAIRS
2360,WALKING_UPSTAIRS
2361,WALKING_UPSTAIRS
2362,WALKING_UPSTAIRS
2363,WALKING_UPSTAIRS
2364,WALKING_UPSTAIRS
2365,WALKING_UPSTAIRS
2366,WALKING_UPSTAIRS
2367,WALKING_UPSTAIRS
2368,WALKING_UPSTAIRS
2369,WALKING_UPSTAIRS
2370,WALKING_UPSTAIRS
2371,WALKING_UPSTAIRS
2372,WALKING_UPSTAIRS
2373,WALKING_UPSTAIRS
2374,WALKING_UPSTAIRS
2375,WALKING_UPSTAIRS
2376,WALKING_UPSTAIRS
2377,WALKING_UPSTAIRS
2378,WALKING_UPSTAIRS
2379,WALKING_UPSTAIRS
2380,WALKING_UPSTAIRS
2381,WALKING_UPSTAIRS
2382,STANDING
2383,STANDING
2384,STANDING
2385,STANDING
2386,STANDING
2387,STANDING
2388,STANDING
2389,STANDING
2390,STANDING
2391,STANDING
2392,STANDING
2393,STANDING
2394,STANDING
2395,STANDING
2396,STANDING
2397,STANDING
2398,STANDING
2399,STANDING
2400,STANDING
2401,STANDING
2402,STANDING
2403,STANDING
2404,STANDING
2405,STANDING
2406,STANDING
2407,STANDING
2408,STANDING
2409,STANDING
2410,STANDING
2411,STANDING
2412,SITTING
2413,SITTING
2414,SITTING
2415,SITTING
2416,SITTING
2417,SITTING
2418,SITTING
2419,SITTING
2420,SITTING
2421,SITTING
2422,SITTING
2423,SITTING
2424,SITTING
2425,SITTING
2426,SITTING
2427,SITTING
2428,SITTING
2429,SITTING
2430,SITTING
2431,SITTING
2432,SITTING
2433,SITTING
2434,SITTING
2435,SITTING
2436,SITTING
2437,SITTING
2438,SITTING
2439,SITTING
2440,LAYING
2441,LAYING
2442,LAYING
2443,LAYING
2444,LAYING
2445,LAYING
2446,LAYING
2447,LAYING
2448,LAYING
2449,LAYING
2450,LAYING
2451,LAYING
2452,LAYING
2453,LAYING
2454,LAYING
2455,LAYING
2456,LAYING
2457,LAYING
2458,LAYING
2459,LAYING
2460,LAYING
2461,LAYING
2462,LAYING
2463,LAYING
2464,LAYING
2465,LAYING
2466,WALKING
2467,WALKING
2468,WALKING
2469,WALKING
2470,WALKING
2471,WALKING
2472,WALKING
2473,WALKING
2474,WALKING
2475,WALKING
2476,WALKING
2477,WALKING
2478,WALKING
2479,WALKING
2480,WALKING
2481,WALKING
2482,WALKING
2483,WALKING
2484,WALKING
2485,WALKING
2486,WALKING
2487,WALKING
2488,WALKING
2489,WALKING
2490,WALKING
2491,WALKING
2492,WALKING
2493,WALKING
2494,WALKING
2495,WALKING_DOWNSTAIRS
2496,WALKING_DOWNSTAIRS
2497,WALKING_DOWNSTAIRS
2498,WALKING_DOWNSTAIRS
2499,WALKING_DOWNSTAIRS
2500,WALKING_DOWNSTAIRS
2501,WALKING_DOWNSTAIRS
2502,WALKING_DOWNSTAIRS
2503,WALKING_DOWNSTAIRS
2504,WALKING_DOWNSTAIRS
2505,WALKING_DOWNSTAIRS
2506,WALKING_DOWNSTAIRS
2507,WALKING_DOWNSTAIRS
2508,WALKING_DOWNSTAIRS
2509,WALKING_DOWNSTAIRS
2510,WALKING_DOWNSTAIRS
2511,WALKING_DOWNSTAIRS
2512,WALKING_DOWNSTAIRS
2513,WALKING_DOWNSTAIRS
2514,WALKING_DOWNSTAIRS
2515,WALKING_DOWNSTAIRS
2516,WALKING_UPSTAIRS
2517,WALKING_UPSTAIRS
2518,WALKING_UPSTAIRS
2519,WALKING_UPSTAIRS
2520,WALKING_UPSTAIRS
2521,WALKING_UPSTAIRS
2522,WALKING_UPSTAIRS
2523,WALKING_UPSTAIRS
2524,WALKING_UPSTAIRS
2525,WALKING_UPSTAIRS
2526,WALKING_UPSTAIRS
2527,WALKING_UPSTAIRS
2528,WALKING_UPSTAIRS
2529,WALKING_UPSTAIRS
2530,WALKING_UPSTAIRS
2531,WALKING_UPSTAIRS
2532,WALKING_UPSTAIRS
2533,WALKING_UPSTAIRS
2534,WALKING_UPSTAIRS
2535,WALKING_UPSTAIRS
2536,WALKING_UPSTAIRS
2537,WALKING_UPSTAIRS
2538,WALKING_UPSTAIRS
2539,WALKING_UPSTAIRS
2540,WALKING_UPSTAIRS
2541,WALKING_UPSTAIRS
2542,WALKING_UPSTAIRS
2543,STANDING
2544,STANDING
2545,STANDING
2546,STANDING
2547,STANDING
2548,STANDING
2549,STANDING
2550,STANDING
2551,STANDING
2552,STANDING
2553,STANDING
2554,STANDING
2555,STANDING
2556,STANDING
2557,STANDING
2558,STANDING
2559,STANDING
2560,STANDING
2561,STANDING
2562,STANDING
2563,STANDING
2564,STANDING
2565,STANDING
2566,STANDING
2567,STANDING
2568,STANDING
2569,STANDING
2570,SITTING
2571,SITTING
2572,SITTING
2573,SITTING
2574,SITTING
2575,SITTING
2576,SITTING
2577,SITTING
2578,SITTING
2579,SITTING
2580,SITTING
2581,SITTING
2582,SITTING
2583,SITTING
2584,SITTING
2585,SITTING
2586,SITTING
2587,SITTING
2588,SITTING
2589,SITTING
2590,SITTING
2591,SITTING
2592,SITTING
2593,SITTING
2594,SITTING
2595,SITTING
2596,SITTING
2597,LAYING
2598,LAYING
2599,LAYING
2600,LAYING
2601,LAYING
2602,LAYING
2603,LAYING
2604,LAYING
2605,LAYING
2606,LAYING
2607,LAYING
2608,LAYING
2609,LAYING
2610,LAYING
2611,LAYING
2612,LAYING
2613,LAYING
2614,LAYING
2615,LAYING
2616,LAYING
2617,LAYING
2618,LAYING
2619,LAYING
2620,LAYING
2621,LAYING
2622,LAYING
2623,LAYING
2624,LAYING
2625,LAYING
2626,LAYING
2627,LAYING
2628,LAYING
2629,LAYING
2630,LAYING
2631,WALKING
2632,WALKING
2633,WALKING
2634,WALKING
2635,WALKING
2636,WALKING
2637,WALKING
2638,WALKING
2639,WALKING
2640,WALKING
2641,WALKING
2642,WALKING
2643,WALKING
2644,WALKING
2645,WALKING
2646,WALKING
2647,WALKING
2648,WALKING
2649,WALKING
2650,WALKING
2651,WALKING
2652,WALKING
2653,WALKING
